date,province,articles,risk_any_count,score_sum,score_avg,province_conf_avg
2016-05-12,Đà Nẵng,1,0,0.0,0.0,0.5833333333333333
2016-05-15,Đà Nẵng,1,0,0.0,0.0,0.5833333333333333
2016-05-16,Cần Thơ,1,1,8.0,8.0,0.7619047619047619
2016-05-16,TP Hồ Chí Minh,1,1,8.5,8.5,0.8214285714285714
2016-05-18,TP Hồ Chí Minh,6,3,19.0,3.1666666666666665,0.8027473472519914
2016-05-18,UNKNOWN,1,0,0.0,0.0,0.0
2016-05-19,Nghệ An,1,1,9.0,9.0,0.863013698630137
2016-05-19,UNKNOWN,1,0,0.0,0.0,0.0
2016-05-20,TP Hồ Chí Minh,1,1,2.5,2.5,0.736842105263158
2016-05-20,UNKNOWN,1,0,0.0,0.0,0.0
2016-05-22,Quảng Nam,1,1,8.5,8.5,0.5833333333333333
2016-05-23,TP Hồ Chí Minh,2,0,0.0,0.0,0.736842105263158
2016-05-23,Đà Nẵng,1,1,6.5,6.5,0.8958333333333334
2016-05-25,Nghệ An,2,2,13.0,6.5,0.7433035714285714
2016-05-25,TP Hồ Chí Minh,1,1,5.0,5.0,0.9404761904761905
2016-05-25,UNKNOWN,1,1,3.5,3.5,0.0
2016-05-26,TP Hồ Chí Minh,1,0,0.0,0.0,0.7826086956521738
2016-05-27,UNKNOWN,1,1,5.0,5.0,0.0
2016-05-29,Thừa Thiên Huế,1,0,0.0,0.0,0.5833333333333333
2016-06-02,TP Hồ Chí Minh,2,1,5.0,2.5,0.8198757763975155
2016-06-04,UNKNOWN,1,1,7.5,7.5,0.0
2016-06-06,Hà Nội,1,1,3.5,3.5,0.8823529411764706
2016-06-06,Phú Yên,1,1,4.0,4.0,0.7619047619047619
2016-06-06,TP Hồ Chí Minh,2,1,8.5,4.25,0.8245614035087719
2016-06-09,TP Hồ Chí Minh,2,2,14.5,7.25,0.7597254004576659
2016-06-12,UNKNOWN,1,0,0.0,0.0,0.0
2016-06-13,Lào Cai,1,1,7.0,7.0,0.7619047619047619
2016-06-13,TP Hồ Chí Minh,1,1,3.5,3.5,0.736842105263158
2016-06-15,Bà Rịa - Vũng Tàu,1,1,4.5,4.5,0.7619047619047619
2016-06-16,TP Hồ Chí Minh,3,3,11.5,3.8333333333333335,0.8029891304347826
2016-06-20,TP Hồ Chí Minh,2,2,7.5,3.75,0.736842105263158
2016-06-21,UNKNOWN,2,1,6.0,3.0,0.0
2016-06-22,Quảng Ninh,1,1,5.0,5.0,0.9224806201550387
2016-06-23,TP Hồ Chí Minh,2,1,3.0,1.5,0.8106591865357644
2016-06-24,Nghệ An,1,1,9.0,9.0,0.75
2016-06-27,Nghệ An,1,1,3.0,3.0,0.75
2016-06-27,TP Hồ Chí Minh,2,0,0.0,0.0,0.712171052631579
2016-06-28,Lâm Đồng,1,1,6.0,6.0,0.736842105263158
2016-06-28,UNKNOWN,1,0,0.0,0.0,0.0
2016-06-29,Lào Cai,1,1,3.0,3.0,0.8876404494382022
2016-06-30,TP Hồ Chí Minh,1,1,6.5,6.5,0.7826086956521738
2016-07-02,TP Hồ Chí Minh,1,0,0.0,0.0,0.5833333333333333
2016-07-03,Ninh Bình,1,1,7.5,7.5,0.868421052631579
